Python,Cython
5.05158,0.067905
5.01075,0.067078
5.03641,0.068285
5.01357,0.066989
5.05384,0.067401
5.02776,0.067630
5.03136,0.068622
5.01741,0.066370
4.94905,0.065337
5.01419,0.068266
5.04364,0.067681
4.99941,0.067011
5.02130,0.065287
4.91196,0.064917
4.93345,0.067505
5.08233,0.067397
5.01898,0.067186
5.00956,0.066694
5.01482,0.066427
5.00701,0.066879
5.01644,0.067900
5.01919,0.067773
5.01358,0.067030
5.00061,0.067049
5.07051,0.066995
5.03759,0.067065
5.01420,0.067433
5.02728,0.066648
5.04133,0.066954
5.16295,0.065373
